PlayerName,EloOutdoor,EloIndoor,EloHard,EloClay,EloGrass,EloCarpet,Last30,Last7,AvgOddsProb
Dosedel S.,1424.4179195024117,1441.8712595771653,1437.3294515021933,1428.7304702776926,1507.3822998703636,1484.0,0,0,0.0
Clement A.,1520.98549915735,1478.6169512285107,1516.5156216418463,1464.921890420824,1521.7202897253696,1492.0784352724422,0,0,0.0
Escude N.,1714.1022388489212,1660.7158713638541,1730.433792653477,1479.273913688795,1642.3556378267847,1522.180098583519,0,0,0.0
Knippschild J.,1445.548859469594,1448.5105265190807,1427.1029513088315,1441.4951862306696,1520.9401020283208,1500.0,0,0,0.0
Fromberg R.,1398.1045934981316,1486.8061299463827,1484.5103301913593,1395.0907187255616,1499.9043094673618,1500.0,0,0,0.0
Arthurs W.,1541.0809872473023,1491.6304700319397,1553.1379783991597,1451.7335374768138,1513.5411908990839,1486.1321235276043,0,0,0.0
Grosjean S.,1520.394438091539,1569.5024224451015,1468.7197872900977,1631.8825312752238,1683.2984516743404,1566.318722537284,0,0,0.0
Balcells J.,1500.5639115987383,1446.7309095294838,1466.7311684249948,1542.6653170338184,1455.7030121150697,1484.736306793522,0,0,0.0
Hewitt L.,1578.7484193649318,1648.4396731793797,1615.2961680528708,1590.5597177527586,1694.1796734461102,1575.2000903251344,0,0,0.0
Tebbutt M.,1482.4943278812802,1500.0,1484.2626856766403,1500.0,1500.0,1500.0,0,0,0.0
Martin A.,1502.1926574453664,1381.9929359616647,1346.3435409412386,1527.8934377315948,1411.0518434812793,1442.8892664504826,0,0,0.16666666666666666
Draper S.,1489.3887515252582,1515.7666122087076,1532.1691800951778,1444.8452253488472,1431.1185492663756,1500.0,0,0,0.0
Petrovic D.,1465.6733103449042,1482.5296018634579,1453.1091737927673,1513.793359969059,1470.7318063544742,1500.0,0,0,0.0
Pozzi G.,1409.6215212170919,1424.25486791544,1419.6219638193038,1421.0168485699712,1500.842313793791,1486.2199892511303,0,0,0.0
Stoltenberg J.,1527.8771278279478,1513.455428874085,1497.1907699911756,1570.515578957298,1514.9498643561458,1500.0,0,0,0.0
Goldstein P.,1535.7867761093719,1436.6508457509774,1537.3811255693054,1485.0903973502739,1493.3538994812782,1488.8136031497131,0,0,0.0
Enqvist T.,1500.490107968082,1537.651470187957,1542.0110865369174,1463.179090633427,1510.4079285583978,1511.3846819268583,0,0,0.0
Lisnard J.,1455.742546160668,1454.339613490274,1416.0735823620794,1482.4880057832884,1500.0,1500.0,0,0,0.0
Sekulov J.,1443.8777974148484,1468.736306793522,1446.103028355923,1482.594746888061,1482.6003758463416,1500.0,0,0,0.0
Norman M.,1518.9726814067162,1449.2596340764048,1553.568750113508,1487.219617086627,1484.7715573996422,1483.3635413584034,0,0,0.0
Vinck C.,1404.3970636061445,1416.8206679399295,1425.5531523914024,1425.2553413858075,1499.9898266304858,1466.6059085654276,0,0,0.0
Henman T.,1598.0797525493824,1655.618025412728,1632.734264292786,1600.8149127348643,1661.7451789459924,1624.8343353174737,0,0,0.0
Kumar S.,1484.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,0,0.0
Behrend T.,1407.7305365749635,1489.2826157390405,1384.5640365045965,1484.7519167068947,1443.09721269136,1516.302504219771,0,0,0.0
Rochus C.,1374.6073334870084,1411.5429232525803,1390.5844726337386,1470.867371238079,1314.4687273104012,1423.001468461862,0,0,0.0
Delgado J.,1391.9406761679418,1468.847331705137,1401.8076088404862,1487.9099207171996,1418.2548645056013,1500.0,0,0,0.0
Spottl M.,1470.1167120736263,1500.0,1484.0,1484.736306793522,1500.0,1500.0,0,0,0.0
Hantschk M.,1399.9701216016729,1462.6750245519615,1408.6676888915456,1466.5534081671667,1468.0662547399324,1500.0,0,0,0.0
Kroslak J.,1439.428489709284,1478.195269076174,1461.1575128029995,1470.1584904596796,1500.0,1484.0,0,0,0.0
Ketola T.,1438.780739018511,1474.6098961693447,1463.4242016879095,1500.0,1468.5646588593065,1490.0171708228752,0,0,0.0
Zib T.,1425.7974651445118,1395.4544013213756,1394.5251558791742,1405.7325547386558,1467.5630366850262,1446.7268657445516,0,0,0.0
Paes L.,1429.8259850543914,1500.0,1441.0488231362353,1483.263693206478,1503.4074055778397,1500.0,0,0,0.0
Ram A.,1441.5590048647082,1455.4695926534073,1418.7603786141378,1500.0,1485.2814958492465,1486.1085821912395,0,0,0.0
Sanguinetti D.,1492.195288762712,1460.5250417507207,1530.3743825110932,1439.5912086474827,1448.836535210389,1424.9729829489017,0,0,0.0
Kilderry P.,1456.7084395844367,1500.0,1469.8162469809681,1500.0,1484.0691368459234,1500.0,0,0,0.0
Tabara M.,1459.2481091688257,1460.4567708037855,1510.083287985803,1470.7831370514448,1468.8017217062607,1467.2762833387317,0,0,0.0
Ishii Y.,1440.1522263259603,1500.0,1436.8674950756827,1500.0,1500.0,1500.0,0,0,0.0
Vinciguerra A.,1483.0424865701361,1551.7975434370069,1480.4762493826834,1506.4244160754713,1458.214547158986,1540.855565357057,0,0,0.0
Agenor R.,1364.5323869444837,1484.0,1440.7871578490535,1420.5030593802087,1469.4387739660467,1500.0,0,0,0.0
Jonsson F.,1386.2135474441136,1456.7121713643412,1433.9199141624517,1433.6805224675122,1468.1571630165042,1500.0,0,0,0.0
Vanek J.,1465.850403365007,1402.5999357420274,1404.4789581163686,1501.6606061846248,1435.0521579017225,1406.0144679347936,0,0,0.0
Manta L.,1426.814346190555,1468.6407820655554,1478.4603926765353,1456.3699365576003,1451.3298231018227,1500.0,0,0,0.0
Golmard J.,1559.0613538674713,1499.5583125590138,1623.3663664877445,1506.5362750647973,1457.6474129280114,1486.0512135428814,0,0,0.0
Pioline C.,1458.6257855201543,1524.4004544941592,1515.1738319244919,1543.8081856839894,1458.875112120815,1421.5442648439616,0,0,0.0
Damm M.,1417.6697390843144,1514.7008694649255,1443.5337959885567,1476.3477248311708,1495.8985701399229,1500.0,0,0,0.3
Bastl G.,1417.8978178656364,1405.717088345596,1436.338277483882,1409.7127877016173,1380.9931653280162,1442.5995714613805,0,0,0.0
Al-Alawi S.K.,1469.497814381082,1500.0,1470.5181286723985,1500.0,1500.0,1500.0,0,0,0.0
Caratti C.,1422.303427994871,1452.6169690788154,1418.8907120057213,1500.0,1455.8006064795543,1484.0,0,0,0.0
Arazi H.,1560.031879419488,1496.9278715246037,1542.4263955272613,1457.6203492567784,1551.7169994823694,1536.9777841815126,0,0,0.0
El Aynaoui Y.,1623.1452749969865,1456.4151437753364,1589.2691767648653,1627.6865508043961,1533.0285145888165,1475.0997690333634,0,0,0.0
Luxa P.,1423.1580679193498,1474.2745173689177,1433.2847778029568,1500.0,1473.960357778378,1500.0,0,0,0.0
Kiefer N.,1723.1586110313274,1636.4750242522182,1759.4888761294592,1634.6900177510527,1597.5124243494704,1565.1997633159604,0,0,0.0
Puerta M.,1650.7550673054918,1459.0900851362103,1479.2806487488822,1682.6081902446447,1466.676607822144,1482.5315280131178,0,0,0.0
Santoro F.,1656.5366243717226,1472.0881917131123,1544.1199760469106,1407.74025243483,1641.5045496064595,1524.8064232072245,0,0,0.0
Diaz J.,1389.3524911922755,1467.8151236367532,1370.626189452311,1454.06807795967,1484.741453378256,1500.0,0,0,0.0
Schuettler R.,1502.3345945825645,1456.5391676140835,1448.3051018237945,1371.6667029976732,1585.9038666310712,1515.8541713555937,0,0,0.0
Siemerink J.,1401.90595841709,1482.0063272383456,1447.3929015261322,1452.6572058280522,1450.8505429478582,1500.0,0,0,0.0
Tillstrom M.,1472.3311770411526,1537.6801217479874,1527.9352926779782,1510.4261809475674,1467.263693206478,1500.0,0,0,0.0
Vicente F.,1334.6568971815357,1411.4019978124898,1423.1326778744594,1386.9216375867277,1441.87337838868,1427.7353529364925,0,0,0.0
Gaudio G.,1480.5738126391077,1480.4869095353927,1532.9364671738629,1503.0800542022066,1466.2827290966873,1466.1686949415046,0,0,0.0
Marin J.A.,1370.9707077761104,1500.0,1395.1455717859403,1387.8034387519167,1482.5625813136655,1500.0,0,0,0.0
Squillari F.,1558.6471736998958,1428.1596786085186,1520.1867590939453,1543.0322125539665,1439.3900586761442,1442.839215678585,0,0,0.0
Cherkasov A.,1500.0,1472.0402508497184,1482.603601955304,1500.0,1500.0,1484.0,0,0,0.0
Schalken S.,1615.0183591698337,1545.1537406040457,1581.010758613015,1586.7763305783537,1674.074618072315,1522.2697039278462,0,0,0.0
Mirnyi M.,1543.802047422195,1563.7160799161431,1502.6572357290163,1460.7055473221467,1591.4652521696742,1504.4618328230108,0,0,0.0
Chang M.,1481.7088483473428,1459.8333215230666,1458.7742477690863,1472.22310464836,1515.2256949595603,1502.5975477960264,0,0,0.0
Federer R.,1995.2249520638256,2006.6292451907443,2034.9532859696255,1937.6673249726248,1950.8413835433173,1784.6980101348925,0,0,0.0
Gambill J.M.,1457.323356718046,1565.2138157335262,1491.4015776009423,1370.0525750687723,1515.5076867806586,1472.2650725487936,0,0,0.0
Sargsian S.,1467.933689712442,1543.8027023626503,1505.606075142973,1472.4764320391155,1433.991766196792,1535.3801941160384,0,0,0.0
Gustafsson M.,1546.0056803325406,1522.3705457558453,1509.2711202094886,1567.0469460711367,1507.697248948409,1501.094016915163,0,0,0.0
Tarango J.,1348.3678944894682,1462.0831077669534,1330.4090979149355,1478.9160570617191,1472.159951700529,1487.2867256810114,0,0,0.0
Johansson T.,1571.8766862154855,1602.3935335356443,1579.7608107955475,1473.7175673180318,1567.7639309477975,1582.3227677590846,0,0,0.0
Berasategui A.,1384.9022426144575,1500.0,1437.986041659664,1427.3669105333126,1485.336782711116,1500.0,0,0,0.0
Bjorkman J.,1559.368703419576,1504.7782435451313,1499.7842243732462,1438.951019290744,1635.3360293620242,1482.242720241348,0,0,0.0
Rosset M.,1439.8814933507986,1526.7927458233862,1488.777082701835,1455.620836526868,1490.1680715589164,1489.0647263445721,0,0,0.0
Ivanisevic G.,1554.489135727464,1451.7774238123275,1538.9309344995872,1375.8727758932087,1591.1182611867403,1471.1066243028345,0,0,0.0
