,PlayerName,EloOutdoorHard,EloOutdoorCarpet,EloOutdoorClay,EloOutdoorGrass,EloOutdoorGreenset,EloIndoorHard,EloIndoorCarpet,EloIndoorClay,EloIndoorGrass,EloIndoorGreenset,EloClayHard,EloClayCarpet,EloClayClay,EloClayGrass,EloClayGreenset,EloAll
0,Abanda F.,1475.0981861166363,1500,1506.0148191986505,1498.9184677901837,1500,1512.4378155217864,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1531.8668371369547
1,Abduraimova N.,1422.805703055242,1500,1481.02200390869,1500.0,1500,1500.0,1500.0,1484.0,1500,1500.0,1500.0,1500,1500,1500,1500,1403.5015433094904
2,Abramovic M.,1499.7352569970521,1500,1500.0,1500.0,1500,1500.0,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1503.3218140630777
3,Adamczak M.,1433.4456921468372,1500,1501.5950776452235,1500.0,1500,1484.141128837299,1500.0,1500.0,1500,1484.0,1500.0,1500,1500,1500,1500,1424.845955886754
4,Ahn K.,1528.2198156997124,1500,1483.1682801994245,1504.8433600601509,1500,1466.9281969340432,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1536.419317936549
5,Ahn K.H.,1484.9607207601862,1500,1500.0,1500.0,1500,1500.0,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1487.5441574826398
6,Aiava D.,1477.0979154276788,1500,1482.036935315022,1503.6402902974708,1500,1482.626419777669,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1498.2973465922712
7,Al Nabhani F.,1401.758203841582,1500,1500.0,1500.0,1500,1500.0,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1413.7654924401056
8,Albanese L.,1451.734839471737,1500,1484.6020113509246,1500.0,1500,1468.7339834856039,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1408.9355462652302
9,Alexandrova E.,1681.2764716816769,1500,1539.2181380965285,1665.5433335588589,1500,1665.0085159429798,1500.0,1478.6467926191776,1500,1500.0,1500.0,1500,1500,1500,1500,1756.8027608573648
10,Allertova D.,1566.2847760573045,1500,1472.5927972914208,1457.1857082466136,1500,1503.2082179015385,1500.0,1486.3104176781278,1500,1500.0,1500.0,1500,1500,1500,1500,1531.109614884817
11,Alves C.M.,1483.1089130186324,1500,1500.0,1500.0,1500,1500.0,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1486.0489160526029
12,Alves M.F.,1454.3136692902865,1500,1500.0,1500.0,1500,1500.0,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1452.8292247798418
13,Amanmuradova A.,1419.3144894485868,1500,1423.2598233007636,1391.4119352680214,1500,1500.0,1500.0,1500.0,1500,1484.736306793522,1500.0,1500,1500,1500,1500,1403.369597229378
14,Ancic S.,1483.8580449379938,1500,1500.0,1500.0,1500,1500.0,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1483.85662995876
15,Anderson R.,1480.8496758549443,1500,1489.8917905833127,1500.0,1500,1500.0,1500.0,1500.0,1500,1500.0,1500.0,1500,1500,1500,1500,1474.695009730895
