,PlayerName,AvgProb,MatchesPlayed
0,Aiava D.,0.27790404040404043,3
1,Alexandrova E.,0.5584923675156517,49
2,Andreescu B.,0.5775149173936998,18
3,Andreeva E.,0.4518586128584117,22
4,Andreeva M.,0.677573293262106,58
5,Anisimova A.,0.5770392820999455,33
6,Appleton E.,0.3802281368821293,1
7,Arango E.,0.3510496715813166,10
8,Avanesyan E.,0.51071442574608,52
9,Avdeeva J.,0.058823529411764705,1
10,Azarenka V.,0.6266548015087935,35
11,Babos T.,0.6535947712418301,1
12,Back D.,0.5780346820809249,1
13,Badosa P.,0.6515777400046844,58
14,Bai Z.,0.35553670713590196,6
15,Baindl K.,0.24444444444444444,2
16,Baptiste H.,0.4828058018166826,23
17,Bara I.,0.36886655803005614,4
18,Barthel M.,0.3522727272727273,2
19,Bassols M.,0.32113723944648803,5
20,Bechri C.,0.034482758620689655,1
21,Begu I.,0.5568049774949513,21
22,Bejlek S.,0.4614173251897803,7
23,Bektas E.,0.33186998018663166,7
24,Bencic B.,0.655634253833702,16
25,Benoit M.,0.45454545454545453,1
26,Birrell K.,0.4641535679879277,24
27,Blinkova A.,0.44263187655608444,35
28,Bogdan A.,0.475370833464943,19
29,Bondar A.,0.4824075604892202,20
30,Bondarenko K.,0.47619047619047616,1
31,Boskovic L.,0.3104895104895105,3
32,Boulter K.,0.6093045362995805,38
33,Bouzas Maneiro J.,0.4836148834356923,27
34,Bouzkova M.,0.6200728253686897,40
35,Brancaccio N.,0.29166666666666663,4
36,Bronzetti L.,0.46202353947719715,42
37,Bucsa C.,0.4543154790549271,33
38,Bulgaru M.,0.4444444444444444,3
39,Burel C.,0.4898991841520924,24
40,Burillo Escorihuela I.,0.23094688221709006,1
41,Burrage J.,0.4516707173758605,6
42,Carle M.,0.40966012631080834,20
43,Cengiz B.,0.23094688221709006,1
44,Chirico L.,0.19090909090909092,2
45,Chong E.,0.29411764705882354,1
46,Chwalinska M.,0.47570764681030847,3
47,Ciric Bagaric L.,0.36363636363636365,1
48,Cirstea S.,0.4587356752818738,27
49,Cocciaretto E.,0.5192738039170179,36
50,Collins D.,0.6841826766024652,38
51,Cornet A.,0.17397603679358875,4
52,Cristian J.,0.39316570100535203,38
53,Danilina A.,0.1,1
54,Danilovic O.,0.5216150654903261,24
55,Dart H.,0.3718724341146556,22
56,Davis L.,0.30250028755463537,6
57,Day K.,0.44915543040995787,4
58,Di Sarra F.,0.1,1
59,Diyas Z.,0.4595959595959596,2
60,Dodin O.,0.2538961038961039,4
61,Dolehide C.,0.4109146848082405,39
62,Eala A.,0.26761305998162405,6
63,El Allami M.,0.058823529411764705,1
64,El Aouni A.,0.09090909090909091,1
65,Erjavec V.,0.3802281368821293,1
66,Errani S.,0.34009447895919864,17
67,Falei A.,0.26666666666666666,1
68,Fernandez L.A.,0.6167147843998937,51
69,Ferro F.,0.38682065217391304,4
70,Fett J.,0.46577608030575574,13
71,Frech M.,0.4884510957201611,48
72,Friedsam A.L.,0.3802281368821293,1
73,Fruhvirtova B.,0.4288888888888889,5
74,Fruhvirtova L.,0.44466624478950223,6
75,Gadecki O.,0.3971914728518229,12
76,Galfi D.,0.39687768695549086,9
77,Gao X.,0.43900093598929313,4
78,Garcia C.,0.5108656900912721,25
79,Gauff C.,0.7752734190874159,56
80,Gibson T.,0.23785382340515424,3
81,Giorgi C.,0.06666666666666667,1
82,Glushko L.,0.28156711624919717,3
83,Golubic V.,0.40041659914654565,22
84,Grabher J.,0.15267232767232766,8
85,Gracheva V.,0.45193512877685443,32
86,Haddad Maia B.,0.5889245195752157,48
87,Halep S.,0.5,2
88,Hartono A.,0.43148880105401843,5
89,Hibino N.,0.34042037224837995,15
90,Hon P.,0.3605640848628558,7
91,Hontama M.,0.38684955997281817,11
92,Hunter S.,0.26666666666666666,1
93,Inglis M.,0.33838383838383834,2
94,Inoue H.,0.18181818181818182,1
95,Ishii S.,0.3322763091319878,3
96,Ito A.,0.297138084482805,7
97,Jabeur O.,0.6339577386202034,41
98,Jacquemot E.,0.40537548768203935,9
99,Jamrichova R.,0.31746031746031744,3
100,Jang S.,0.3802281368821293,2
101,Janicijevic S.,0.547977645164346,3
102,Jeanjean L.,0.2808573540280857,3
103,Jimenez Kasintseva V.,0.3405391141964032,3
104,Joint M.,0.4978029067216595,16
105,Jones E.,0.16363636363636366,3
106,Jones F.,0.44955384362834766,6
107,Jovic I.,0.35880104301156934,6
108,Juvan K.,0.5555555555555556,1
109,Kabbaj Y.,0.09090909090909091,1
110,Kalieva E.,0.2222222222222222,1
111,Kalinina A.,0.5164385799185828,41
112,Kalinskaya A.,0.645431710783999,34
113,Kartal S.,0.5422631813856986,13
114,Kasatkina D.,0.6191223432066549,58
115,Kenin S.,0.46154688943697963,44
116,Kerber A.,0.468900088752983,9
117,Kessler M.,0.4804344759744276,34
118,Keys M.,0.6446069212510803,49
119,Korneeva A.,0.597860173737907,4
120,Korpatsch T.,0.31764396068029027,14
121,Kostyuk M.,0.6043402488129644,44
122,Kovinic D.,0.11688311688311688,2
123,Kraus S.,0.3802281368821293,1
124,Krejcikova B.,0.5436147392204317,23
125,Krueger A.,0.5197661383653458,43
126,Krunic A.,0.32778769302397764,7
127,Kudermetova P.,0.43177890112524625,20
128,Kudermetova V.,0.5439406222757731,44
129,Kvitova P.,0.53475935828877,1
130,Lamens S.,0.43777140129471537,28
131,Laskutova K.,0.1111111111111111,1
132,Lee G.,0.29411764705882354,1
133,Lepchenko V.,0.34535219334059153,8
134,Li A.,0.5616495951937407,21
135,Liang E.S.,0.26666666666666666,1
136,Linette M.,0.47992366280193133,52
137,Liu C.,0.5395578824898197,2
138,Liu F.,0.6172839506172839,1
139,Lu J.,0.19880677444187836,2
140,Lys E.,0.5253732952670438,21
141,Ma Y.,0.2767927970807552,3
142,Makarova E.,0.25833333333333336,3
143,Mandlik E.,0.4380952380952381,2
144,Maria T.,0.37753399426718137,30
145,Marino R.,0.4054476872103399,9
146,Martic P.,0.4532615584606695,22
147,Masarova R.,0.43597169871221236,13
148,McNally C.,0.29411764705882354,1
149,Mcnally C.,0.5,1
150,Mertens E.,0.5747741880742187,49
151,Minnen G.,0.4551285939248525,34
152,Miyazaki Y.,0.36457533630736244,6
153,Mladenovic K.,0.2111111111111111,2
154,Monnet C.,0.3833333333333333,2
155,Monroy Y.,0.06666666666666667,1
156,Montgomery R.,0.46497504546092666,19
157,Muchova K.,0.708854218352151,37
158,Naef C.,0.41401734104046245,2
159,Naklo T.,0.2222222222222222,1
160,Navarro E.,0.6449679173900277,56
161,Ngounoue C.,0.3779814956285545,3
